district_id,district_name,ssp,epoch,metric,value,value,value
,,,,,mean,max,min
NSW_7,Northern NSW,Historical,Historical,avg_hot_days_35,4.757524275289617,4.757524275289617,4.757524275289617
NSW_7,Northern NSW,Historical,Historical,avg_hot_days_40,0.33466333296225675,0.33466333296225675,0.33466333296225675
NSW_7,Northern NSW,Historical,Historical,heatwaves_avg_duration,4.831476988258662,4.831476988258662,4.831476988258662
NSW_7,Northern NSW,Historical,Historical,heatwaves_avg_events_per_year,2.143094451875617,2.143094451875617,2.143094451875617
NSW_7,Northern NSW,Historical,Historical,mean_heat_index,34.407249450683594,34.407249450683594,34.407249450683594
NSW_7,Northern NSW,Historical,Historical,mean_temp,19.464004516601562,19.464004516601562,19.464004516601562
NSW_7,Northern NSW,Historical,Historical,pc_max_95,31.060758590698242,31.060758590698242,31.060758590698242
NSW_7,Northern NSW,Historical,Historical,pc_min_95,21.847509384155273,21.847509384155273,21.847509384155273
NSW_7,Northern NSW,ssp245,late,avg_hot_days_35,14.567077725396363,14.567077725396363,14.567077725396363
NSW_7,Northern NSW,ssp245,late,avg_hot_days_40,1.9059931151703549,1.9059931151703549,1.9059931151703549
NSW_7,Northern NSW,ssp245,late,heatwaves_avg_duration,8.106602777119125,8.106602777119125,8.106602777119125
NSW_7,Northern NSW,ssp245,late,heatwaves_avg_events_per_year,6.7783086168542654,6.7783086168542654,6.7783086168542654
NSW_7,Northern NSW,ssp245,late,mean_heat_index,36.48579619034435,36.48579619034435,36.48579619034435
NSW_7,Northern NSW,ssp245,late,mean_temp,21.655662250909348,21.655662250909348,21.655662250909348
NSW_7,Northern NSW,ssp245,late,pc_max_95,33.83721736531627,33.83721736531627,33.83721736531627
NSW_7,Northern NSW,ssp245,late,pc_min_95,23.736925950106674,23.736925950106674,23.736925950106674
NSW_7,Northern NSW,ssp245,mid,avg_hot_days_35,10.040409344576558,10.040409344576558,10.040409344576558
NSW_7,Northern NSW,ssp245,mid,avg_hot_days_40,0.917119435506805,0.917119435506805,0.917119435506805
NSW_7,Northern NSW,ssp245,mid,heatwaves_avg_duration,6.517543149544354,6.517543149544354,6.517543149544354
NSW_7,Northern NSW,ssp245,mid,heatwaves_avg_events_per_year,5.605291603810052,5.605291603810052,5.605291603810052
NSW_7,Northern NSW,ssp245,mid,mean_heat_index,35.46324243927197,35.46324243927197,35.46324243927197
NSW_7,Northern NSW,ssp245,mid,mean_temp,21.068316683711558,21.068316683711558,21.068316683711558
NSW_7,Northern NSW,ssp245,mid,pc_max_95,32.87174661044651,32.87174661044651,32.87174661044651
NSW_7,Northern NSW,ssp245,mid,pc_min_95,23.248575230127276,23.248575230127276,23.248575230127276
NSW_7,Northern NSW,ssp370,late,avg_hot_days_35,21.689904982405388,21.689904982405388,21.689904982405388
NSW_7,Northern NSW,ssp370,late,avg_hot_days_40,3.2435024236905896,3.2435024236905896,3.2435024236905896
NSW_7,Northern NSW,ssp370,late,heatwaves_avg_duration,10.22841001762174,10.22841001762174,10.22841001762174
NSW_7,Northern NSW,ssp370,late,heatwaves_avg_events_per_year,8.399505456234888,8.399505456234888,8.399505456234888
NSW_7,Northern NSW,ssp370,late,mean_heat_index,37.71723510821507,37.71723510821507,37.71723510821507
NSW_7,Northern NSW,ssp370,late,mean_temp,22.591681998244617,22.591681998244617,22.591681998244617
NSW_7,Northern NSW,ssp370,late,pc_max_95,34.883992928771605,34.883992928771605,34.883992928771605
NSW_7,Northern NSW,ssp370,late,pc_min_95,24.837209041191493,24.837209041191493,24.837209041191493
NSW_7,Northern NSW,ssp370,mid,avg_hot_days_35,15.983156586881783,15.983156586881783,15.983156586881783
NSW_7,Northern NSW,ssp370,mid,avg_hot_days_40,2.085909507668036,2.085909507668036,2.085909507668036
NSW_7,Northern NSW,ssp370,mid,heatwaves_avg_duration,7.535824855934724,7.535824855934724,7.535824855934724
NSW_7,Northern NSW,ssp370,mid,heatwaves_avg_events_per_year,6.786243796756788,6.786243796756788,6.786243796756788
NSW_7,Northern NSW,ssp370,mid,mean_heat_index,36.311622266614926,36.311622266614926,36.311622266614926
NSW_7,Northern NSW,ssp370,mid,mean_temp,21.480106089133972,21.480106089133972,21.480106089133972
NSW_7,Northern NSW,ssp370,mid,pc_max_95,33.95529932578597,33.95529932578597,33.95529932578597
NSW_7,Northern NSW,ssp370,mid,pc_min_95,23.483429048713027,23.483429048713027,23.483429048713027
NSW_9,Western Sydney,Historical,Historical,avg_hot_days_35,10.422838951301916,10.422838951301916,10.422838951301916
NSW_9,Western Sydney,Historical,Historical,avg_hot_days_40,1.0679896349937499,1.0679896349937499,1.0679896349937499
NSW_9,Western Sydney,Historical,Historical,heatwaves_avg_duration,3.9166383340703006,3.9166383340703006,3.9166383340703006
NSW_9,Western Sydney,Historical,Historical,heatwaves_avg_events_per_year,1.7642932415140091,1.7642932415140091,1.7642932415140091
NSW_9,Western Sydney,Historical,Historical,mean_heat_index,34.87824630737305,34.87824630737305,34.87824630737305
NSW_9,Western Sydney,Historical,Historical,mean_temp,17.803922653198242,17.803922653198242,17.803922653198242
NSW_9,Western Sydney,Historical,Historical,pc_max_95,33.139122009277344,33.139122009277344,33.139122009277344
NSW_9,Western Sydney,Historical,Historical,pc_min_95,20.51513671875,20.51513671875,20.51513671875
NSW_9,Western Sydney,ssp245,late,avg_hot_days_35,24.080182602070447,24.080182602070447,24.080182602070447
NSW_9,Western Sydney,ssp245,late,avg_hot_days_40,3.815310464069002,3.815310464069002,3.815310464069002
