district_id,district_name,model,ssp,epoch,metric,value
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,mean_heat_index,36.761648816918985
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,mean_heat_index,36.48579619034435
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,mean_heat_index,36.7529711894544
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,mean_heat_index,37.04890614828243
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,mean_heat_index,36.311622266614926
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,mean_heat_index,37.04389022030969
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,mean_heat_index,37.10189422100294
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,mean_heat_index,37.71723510821507
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,mean_heat_index,37.97505038034822
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,mean_heat_index,37.352719275976916
NSW_7,Northern NSW,Historical,Historical,Historical,mean_heat_index,34.407249450683594
NSW_9,Western Sydney,Historical,Historical,Historical,mean_heat_index,34.87824630737305
SA_5,Eyre and Far North,Historical,Historical,Historical,mean_heat_index,36.01511001586914
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,mean_temp,21.068316683711558
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,mean_temp,19.37019982367961
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,mean_temp,18.949074473504528
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,mean_temp,21.655662250909348
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,mean_temp,20.043383481722135
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,mean_temp,19.46636063587474
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,mean_temp,21.480106089133972
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,mean_temp,19.912778776005613
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,mean_temp,19.2052677884562
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,mean_temp,22.591681998244617
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,mean_temp,21.102487767422094
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,mean_temp,20.30537702670733
NSW_7,Northern NSW,Historical,Historical,Historical,mean_temp,19.464004516601562
NSW_9,Western Sydney,Historical,Historical,Historical,mean_temp,17.803922653198242
SA_5,Eyre and Far North,Historical,Historical,Historical,mean_temp,17.567485809326172
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_35,10.040409344576558
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_35,16.743216266391862
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_35,44.89554659228397
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_40,0.917119435506805
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_40,2.123696497969405
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_40,13.847128394257801
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,avg_hot_days_35,14.567077725396363
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,avg_hot_days_35,24.080182602070447
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,avg_hot_days_35,49.72689380720737
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,avg_hot_days_40,1.9059931151703549
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,avg_hot_days_40,3.815310464069002
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,avg_hot_days_40,16.583761145844996
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_35,15.983156586881783
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_35,27.798132978230303
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_35,48.6380919354149
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_40,2.085909507668036
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_40,5.488890040580509
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_40,16.11065748440949
