,district_id,district_name,model,ssp,epoch,metric,value
58,NSW_9,Western Sydney,Historical,Historical,Historical,pc_min_95,20.51513671875
59,SA_5,Eyre and Far North,Historical,Historical,Historical,pc_min_95,19.886430740356445
60,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,mean_heat_index,35.46324243927197
61,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,mean_heat_index,36.00787048813622
62,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,mean_heat_index,36.761648816918985
63,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,mean_heat_index,36.48579619034435
64,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,mean_heat_index,36.7529711894544
65,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,mean_heat_index,37.04890614828243
66,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,mean_heat_index,36.311622266614926
67,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,mean_heat_index,37.04389022030969
68,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,mean_heat_index,37.10189422100294
69,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,mean_heat_index,37.71723510821507
70,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,mean_heat_index,37.97505038034822
71,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,mean_heat_index,37.352719275976916
72,NSW_7,Northern NSW,Historical,Historical,Historical,mean_heat_index,34.407249450683594
73,NSW_9,Western Sydney,Historical,Historical,Historical,mean_heat_index,34.87824630737305
74,SA_5,Eyre and Far North,Historical,Historical,Historical,mean_heat_index,36.01511001586914
75,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,mean_temp,21.068316683711558
76,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,mean_temp,19.37019982367961
77,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,mean_temp,18.949074473504528
78,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,mean_temp,21.655662250909348
79,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,mean_temp,20.043383481722135
80,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,mean_temp,19.46636063587474
81,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,mean_temp,21.480106089133972
82,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,mean_temp,19.912778776005613
83,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,mean_temp,19.2052677884562
84,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,mean_temp,22.591681998244617
85,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,mean_temp,21.102487767422094
86,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,mean_temp,20.30537702670733
87,NSW_7,Northern NSW,Historical,Historical,Historical,mean_temp,19.464004516601562
88,NSW_9,Western Sydney,Historical,Historical,Historical,mean_temp,17.803922653198242
89,SA_5,Eyre and Far North,Historical,Historical,Historical,mean_temp,17.567485809326172
90,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_35,10.040409344576558
91,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_35,16.743216266391862
92,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_35,44.89554659228397
93,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_40,0.917119435506805
94,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_40,2.123696497969405
95,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,mid,avg_hot_days_40,13.847128394257801
96,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,avg_hot_days_35,14.567077725396363
97,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,avg_hot_days_35,24.080182602070447
98,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,avg_hot_days_35,49.72689380720737
99,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp245,late,avg_hot_days_40,1.9059931151703549
100,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp245,late,avg_hot_days_40,3.815310464069002
101,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp245,late,avg_hot_days_40,16.583761145844996
102,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_35,15.983156586881783
103,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_35,27.798132978230303
104,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_35,48.6380919354149
105,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_40,2.085909507668036
106,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_40,5.488890040580509
107,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,mid,avg_hot_days_40,16.11065748440949
108,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,avg_hot_days_35,21.689904982405388
109,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,avg_hot_days_35,33.35657078673953
110,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,avg_hot_days_35,57.584845949310306
111,NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,avg_hot_days_40,3.2435024236905896
112,NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,avg_hot_days_40,6.8930705381856034
113,SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,avg_hot_days_40,23.18140101503106
114,NSW_7,Northern NSW,Historical,Historical,Historical,avg_hot_days_35,4.757524275289617
115,NSW_9,Western Sydney,Historical,Historical,Historical,avg_hot_days_35,10.422838951301916
116,SA_5,Eyre and Far North,Historical,Historical,Historical,avg_hot_days_35,32.1571222710043
117,NSW_7,Northern NSW,Historical,Historical,Historical,avg_hot_days_40,0.33466333296225675
118,NSW_9,Western Sydney,Historical,Historical,Historical,avg_hot_days_40,1.0679896349937499
119,SA_5,Eyre and Far North,Historical,Historical,Historical,avg_hot_days_40,7.052729869933264
